stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.889722,1,1955,-79.393474,,,,,LESLIE ST / VIA RENZO DR,0,2260,
43.893655,1,1956,-79.394446,,,,,LESLIE ST / TOPOROWSKI AV,0,2261,
43.895475,1,2094,-79.433284,,,,,BERNARD AV / OLDHILL ST,0,2266,
43.895451,1,2095,-79.438828,,,,,BERNARD AV / YORKLAND ST,0,2267,
43.89975,2,2092,-79.434893,,,,,BERNARD AV / PRICE ST,0,2264,
43.899043,2,2093,-79.431873,,,,,BERNARD AV / VIEWMARK DR,0,2265,
43.884053,2,2716,-79.422847,,,,,CROSBY AV / NEAL DR,0,2442,
43.884461,2,2717,-79.422819,,,,,NEAL DR / CROSBY AV,0,2443,
43.88221,1,2714,-79.429606,,,,,CROSBY AV / NEWKIRK RD,0,2440,
43.883392,1,2715,-79.425803,,,,,CROSBY AV STOP # 2715,0,2441,
43.889457,2,2720,-79.423482,,,,,NEAL DR / MCCONVEY DR,0,2446,
43.890931,2,2721,-79.424049,,,,,NEAL DR / TAYLOR MILLS DR,0,2447,
43.886088,2,2718,-79.423459,,,,,NEAL DR / TAYLOR MILLS DR,0,2444,
43.887424,2,2719,-79.423731,,,,,NEAL DR / MCCONVEY DR,0,2445,
43.892976,2,2722,-79.424877,,,,,NEAL DR / ELGIN MILLS RD,0,2448,
43.891128,2,2723,-79.424261,,,,,NEAL DR / TAYLOR MILLS DR,0,2449,
43.895542,1,1097,-79.409193,,,,,ELGIN MILLS RD / MELBOURNE DR,0,1680,
43.838176,1,1694,-79.502653,,,,,RUTHERFORD RD / WESTBURNE DR,0,2103,
44.03569,1,9807,-79.476063,,,,YONGE ST & MULOCK DR,YONGE / MULOCK,0,108,
44.045551,1,9808,-79.478361,,,,YONGE ST & EAGLE ST,YONGE / EAGLE,0,109,
43.836714,1,1692,-79.507436,,,,,RUTHERFORD RD / KEELE ST,0,2102,
43.99008,1,9801,-79.465388,,,,YONGE ST & GOLF LINKS DR,YONGE / GOLF LINKS,0,102,
43.999943,1,9802,-79.467575,,,,YONGE ST & WELLINGTON ST,YONGE / WELLINGTON,0,103,
43.983182,1,9799,-79.463744,,,,YONGE ST & HENDERSON DR,YONGE / HENDERSON,0,100,
43.990762,1,9800,-79.465357,,,,YONGE ST & DUNNING AV,YONGE / GOLF LINKS,0,101,
44.00852,1,9805,-79.469833,,,,YONGE ST & ORCHARD HEIGHTS BLVD,YONGE / ORCHARD HEIGHTS,0,106,
44.036862,1,9806,-79.476015,,,,YONGE ST & MULOCK DR,YONGE / MULOCK,0,107,
44.000178,1,9803,-79.46778,,,,YONGE ST & WELLINGTON ST,YONGE / WELLINGTON,0,104,
44.008802,1,9804,-79.469693,,,,YONGE ST & BATSON DR,YONGE / ORCHARD HEIGHTS,0,105,
43.861735,1,1600,-79.338697,,,,,HOLLINGHAM RD / HALSTEAD DR,0,2046,
43.856361,1,1601,-79.255417,,,,,14TH AV / MARKHAM RD,0,2047,
43.864809,1,1598,-79.339732,,,,,HOLLINGHAM RD / LOWESWATER AV,0,2044,
